Cell,Label,Sex,Sample
1772071015_F03,5_interneurons,Female,58
1772071015_B11,5_interneurons,Male,59
1772071014_G10,5_interneurons,Female,60
1772067066_B07,5_interneurons,Male,61
1772067065_G01,5_interneurons,Female,62
1772071015_F07,5_interneurons,Male,63
1772067065_E07,5_interneurons,Female,64
1772071015_C10,5_interneurons,Male,65
1772067063_E06,5_interneurons,Female,66
1772067065_A11,5_interneurons,Male,67
1772071015_G12,5_interneurons,Female,68
1772067058_D07,5_interneurons,Male,69
1772067065_D01,5_interneurons,Female,70
1772071015_A02,5_interneurons,Male,71
1772071014_F01,5_interneurons,Female,72
1772071015_D06,5_interneurons,Male,73
1772071017_B02,5_interneurons,Female,74
1772071017_D07,5_interneurons,Male,75
1772071017_A11,5_interneurons,Female,76
1772071017_B01,5_interneurons,Male,77
1772071017_C07,5_interneurons,Female,78
1772071015_H11,5_interneurons,Male,79
1772071014_A05,5_interneurons,Female,80
1772071017_A10,5_interneurons,Male,81
1772071017_C08,5_interneurons,Female,82
1772071017_B09,5_interneurons,Male,83
1772067066_A09,5_interneurons,Female,84
1772067065_A12,5_interneurons,Male,85
1772071015_G04,5_interneurons,Female,86
1772067066_B02,5_interneurons,Male,87
1772071015_E06,5_interneurons,Female,88
1772067064_E04,5_interneurons,Male,89
1772071015_C01,5_interneurons,Female,90
1772071014_F06,5_interneurons,Male,91
1772071017_D10,5_interneurons,Female,92
1772071017_C05,5_interneurons,Male,93
1772071014_E05,5_interneurons,Female,94
1772071017_E04,5_interneurons,Male,95
1772058148_D08,5_interneurons,Female,96
1772067065_F07,5_interneurons,Male,97
1772062128_G08,5_interneurons,Female,98
1772066102_B02,5_interneurons,Male,99
1772063077_B03,5_interneurons,Female,100
1772062114_H03,5_interneurons,Male,101
1772066074_A03,5_interneurons,Female,102
1772066102_C09,5_interneurons,Male,103
1772062114_E02,5_interneurons,Female,104
1772063068_G07,5_interneurons,Male,105
1772062115_A12,5_interneurons,Female,106
1772062113_F08,5_interneurons,Male,107
1772066108_B02,5_interneurons,Female,108
1772066102_G06,5_interneurons,Male,109
1772067059_E03,5_interneurons,Female,110
1772071035_G04,5_interneurons,Male,111
1772066102_C06,5_interneurons,Female,112
1772067057_H02,5_interneurons,Male,113
1772062115_G05,5_interneurons,Female,114
1772066097_G03,5_interneurons,Male,115
1772063064_G08,5_interneurons,Female,116
1772067082_B01,5_interneurons,Male,117
1772066099_C04,5_interneurons,Female,118
1772071040_A12,5_interneurons,Male,119
1772063078_F01,5_interneurons,Female,120
1772067082_F03,5_interneurons,Male,121
1772071044_A03,5_interneurons,Female,122
1772067060_B04,5_interneurons,Male,123
1772071045_C11,5_interneurons,Female,124
1772067083_B10,5_interneurons,Male,125
1772066077_E08,5_interneurons,Female,126
1772063078_F12,5_interneurons,Male,127
1772062115_C05,5_interneurons,Female,128
1772066099_C11,5_interneurons,Male,129
1772063064_G03,5_interneurons,Female,130
1772071036_E09,5_interneurons,Male,131
1772062128_D11,5_interneurons,Female,132
1772067058_A12,5_interneurons,Male,133
1772063078_B02,5_interneurons,Female,134
1772066108_E06,5_interneurons,Male,135
1772066100_A12,5_interneurons,Female,136
1772066073_B03,5_interneurons,Male,137
1772067076_A06,5_interneurons,Female,138
1772062111_G03,5_interneurons,Male,139
1772063061_H03,5_interneurons,Female,140
1772066097_H05,5_interneurons,Male,141
1772067065_A02,5_interneurons,Female,142
1772066077_H12,5_interneurons,Male,143
1772062128_G04,5_interneurons,Female,144
1772062109_H03,5_interneurons,Male,145
1772063063_F01,5_interneurons,Female,146
1772062128_B10,5_interneurons,Male,147
1772063061_B03,5_interneurons,Female,148
1772063061_B05,5_interneurons,Male,149
1772058177_G09,5_interneurons,Female,150
1772066095_D02,5_interneurons,Male,151
1772066097_G12,5_interneurons,Female,152
1772066097_G02,5_interneurons,Male,153
1772066100_G07,5_interneurons,Female,154
1772066097_H01,5_interneurons,Male,155
1772071045_H03,5_interneurons,Female,156
1772067083_F08,5_interneurons,Male,157
1772067083_H01,5_interneurons,Female,158
1772066101_F04,5_interneurons,Male,159
1772067058_H12,5_interneurons,Female,160
1772067082_F02,5_interneurons,Male,161
1772067058_H05,5_interneurons,Female,162
1772071035_B09,5_interneurons,Male,163
1772071015_H07,5_interneurons,Female,164
1772071036_C02,5_interneurons,Male,165
1772066108_F04,5_interneurons,Female,166
1772071035_H02,5_interneurons,Male,167
1772062109_H07,5_interneurons,Female,168
1772067076_E03,5_interneurons,Male,169
1772067059_G10,5_interneurons,Female,170
1772067076_D04,5_interneurons,Male,171
1772066099_H06,5_interneurons,Female,172
1772066102_G12,5_interneurons,Male,173
1772071035_E07,5_interneurons,Female,174
1772066073_B02,5_interneurons,Male,175
1772067076_A03,5_interneurons,Female,176
1772066102_B11,5_interneurons,Male,177
1772066089_A01,5_interneurons,Female,178
1772066099_A01,5_interneurons,Male,179
1772067057_H04,5_interneurons,Female,180
1772066102_C11,5_interneurons,Male,181
1772071045_A10,5_interneurons,Female,182
1772066096_G01,5_interneurons,Male,183
1772066102_H10,5_interneurons,Female,184
1772066099_C12,5_interneurons,Male,185
1772071044_H10,5_interneurons,Female,186
1772067083_D10,5_interneurons,Male,187
1772066099_E04,5_interneurons,Female,188
1772066100_D08,5_interneurons,Male,189
1772066099_H02,5_interneurons,Female,190
1772066089_H04,5_interneurons,Male,191
1772066089_B06,5_interneurons,Female,192
1772066102_G08,5_interneurons,Male,193
1772066102_A04,5_interneurons,Female,194
1772066097_B06,5_interneurons,Male,195
1772067076_E04,5_interneurons,Female,196
1772066097_C06,5_interneurons,Male,197
1772067057_D12,5_interneurons,Female,198
1772066100_A05,5_interneurons,Male,199
1772066101_F03,5_interneurons,Female,200
1772071014_A06,5_interneurons,Male,201
1772071015_A11,5_interneurons,Female,202
1772071015_C09,5_interneurons,Male,203
1772063071_A06,5_interneurons,Female,204
1772058148_F09,5_interneurons,Male,205
1772067066_H09,5_interneurons,Female,206
1772067065_G10,5_interneurons,Male,207
1772071015_A05,5_interneurons,Female,208
1772067065_B10,5_interneurons,Male,209
1772067065_A01,5_interneurons,Female,210
1772062128_F10,5_interneurons,Male,211
1772071017_H06,5_interneurons,Female,212
1772071014_A12,5_interneurons,Male,213
1772067065_F08,5_interneurons,Female,214
1772058148_H04,5_interneurons,Male,215
1772066102_B06,5_interneurons,Female,216
1772063077_H05,5_interneurons,Male,217
1772067076_A12,5_interneurons,Female,218
1772067065_B12,5_interneurons,Male,219
1772067065_G11,5_interneurons,Female,220
1772067066_A10,5_interneurons,Male,221
1772067066_E02,5_interneurons,Female,222
1772067066_A11,5_interneurons,Male,223
1772067065_B09,5_interneurons,Female,224
1772067065_F10,5_interneurons,Male,225
1772063063_H03,5_interneurons,Female,226
1772071017_A01,5_interneurons,Male,227
1772067066_D04,5_interneurons,Female,228
1772067065_G12,5_interneurons,Male,229
1772071017_G05,5_interneurons,Female,230
1772071017_D12,5_interneurons,Male,231
1772071015_A01,5_interneurons,Female,232
1772071017_H10,5_interneurons,Male,233
1772063070_B10,5_interneurons,Female,234
1772063065_C02,5_interneurons,Male,235
1772071015_E10,5_interneurons,Female,236
1772067082_B09,5_interneurons,Male,237
1772062115_H01,5_interneurons,Female,238
1772071041_B06,5_interneurons,Male,239
1772066090_C05,5_interneurons,Female,240
1772067096_F07,5_interneurons,Male,241
1772071015_F05,5_interneurons,Female,242
1772067083_G04,5_interneurons,Male,243
1772062115_G06,5_interneurons,Female,244
1772071015_G09,5_interneurons,Male,245
1772066095_F07,5_interneurons,Female,246
1772071017_G02,5_interneurons,Male,247
1772062111_C11,5_interneurons,Female,248
1772058148_H03,5_interneurons,Male,249
1772066100_D06,5_interneurons,Female,250
1772071017_C10,5_interneurons,Male,251
1772071014_B10,5_interneurons,Female,252
1772062128_G06,5_interneurons,Male,253
1772067057_A08,5_interneurons,Female,254
1772063068_F12,5_interneurons,Male,255
1772063074_E11,5_interneurons,Female,256
1772066100_D04,5_interneurons,Male,257
1772066100_F03,5_interneurons,Female,258
1772067093_D01,5_interneurons,Male,259
1772066100_E01,5_interneurons,Female,260
1772067073_C01,5_interneurons,Male,261
1772067083_B11,5_interneurons,Female,262
1772067054_F12,5_interneurons,Male,263
1772058177_D04,5_interneurons,Female,264
1772067082_H03,5_interneurons,Male,265
1772071017_D01,5_interneurons,Female,266
1772067094_H08,5_interneurons,Male,267
1772067096_A01,5_interneurons,Female,268
1772058148_H08,5_interneurons,Male,269
1772067093_F03,5_interneurons,Female,270
1772071015_E08,5_interneurons,Male,271
1772067083_C02,5_interneurons,Female,272
1772066100_H07,5_interneurons,Male,273
1772071014_C04,5_interneurons,Female,274
1772067096_G05,5_interneurons,Male,275
1772071017_A08,5_interneurons,Female,276
1772066097_G04,5_interneurons,Male,277
1772067094_A09,5_interneurons,Female,278
1772067082_D05,5_interneurons,Male,279
1772067082_B03,5_interneurons,Female,280
1772063064_B06,5_interneurons,Male,281
1772067082_D04,5_interneurons,Female,282
1772067065_A08,5_interneurons,Male,283
1772066100_F08,5_interneurons,Female,284
1772067082_C02,5_interneurons,Male,285
1772067082_B02,5_interneurons,Female,286
1772067093_H07,5_interneurons,Male,287
1772071017_A06,5_interneurons,Female,288
1772071014_F12,5_interneurons,Male,289
1772071014_E02,5_interneurons,Female,290
1772067069_H02,3_pyramidal SS,Male,291
1772063071_B07,3_pyramidal SS,Female,292
1772067073_F04,3_pyramidal SS,Male,293
1772067069_A03,3_pyramidal SS,Female,294
1772067066_E04,3_pyramidal SS,Male,295
1772067063_C05,3_pyramidal SS,Female,296
1772067069_C12,3_pyramidal SS,Male,297
1772067064_C12,3_pyramidal SS,Female,298
1772071041_F07,3_pyramidal SS,Male,299
1772071040_B04,3_pyramidal SS,Female,300
1772067063_E09,3_pyramidal SS,Male,301
1772067070_D04,3_pyramidal SS,Female,302
1772067064_C07,3_pyramidal SS,Male,303
1772067069_A11,3_pyramidal SS,Female,304
1772067064_H09,3_pyramidal SS,Male,305
1772071040_B01,3_pyramidal SS,Female,306
1772067064_B04,3_pyramidal SS,Male,307
1772063063_E12,3_pyramidal SS,Female,308
1772067069_D10,3_pyramidal SS,Male,309
1772062109_B03,3_pyramidal SS,Female,310
1772067064_C09,3_pyramidal SS,Male,311
1772067064_D02,3_pyramidal SS,Female,312
1772067069_H10,3_pyramidal SS,Male,313
1772071017_G01,3_pyramidal SS,Female,314
1772067063_B02,3_pyramidal SS,Male,315
1772060240_A07,3_pyramidal SS,Female,316
1772067073_A01,3_pyramidal SS,Male,317
1772067064_B01,3_pyramidal SS,Female,318
1772067074_A06,3_pyramidal SS,Male,319
1772062116_B04,3_pyramidal SS,Female,320
1772071041_G09,3_pyramidal SS,Male,321
1772067069_B02,3_pyramidal SS,Female,322
1772067070_C01,3_pyramidal SS,Male,323
1772067070_A03,3_pyramidal SS,Female,324
1772071017_C06,3_pyramidal SS,Male,325
1772067064_B05,3_pyramidal SS,Female,326
1772067073_C12,3_pyramidal SS,Male,327
1772067064_C02,3_pyramidal SS,Female,328
1772067070_G11,3_pyramidal SS,Male,329
1772067074_F07,3_pyramidal SS,Female,330
1772067069_G06,3_pyramidal SS,Male,331
1772067070_F07,3_pyramidal SS,Female,332
1772071041_H11,3_pyramidal SS,Male,333
1772067066_A06,3_pyramidal SS,Female,334
1772071040_G08,3_pyramidal SS,Male,335
1772067064_G02,3_pyramidal SS,Female,336
1772071040_E01,3_pyramidal SS,Male,337
1772067070_F03,3_pyramidal SS,Female,338
1772067074_D05,3_pyramidal SS,Male,339
1772067069_G03,3_pyramidal SS,Female,340
1772067070_E11,3_pyramidal SS,Male,341
1772071017_D11,3_pyramidal SS,Female,342
1772071041_E12,3_pyramidal SS,Male,343
1772071041_F09,3_pyramidal SS,Female,344
1772071041_D09,3_pyramidal SS,Male,345
1772071041_H12,3_pyramidal SS,Female,346
1772067073_F08,3_pyramidal SS,Male,347
1772071041_D04,3_pyramidal SS,Female,348
1772071040_F05,3_pyramidal SS,Male,349
1772071041_E01,3_pyramidal SS,Female,350
1772071041_G07,3_pyramidal SS,Male,351
1772071041_G03,3_pyramidal SS,Female,352
1772071041_H09,3_pyramidal SS,Male,353
1772071041_G08,3_pyramidal SS,Female,354
1772067070_G08,3_pyramidal SS,Male,355
1772067064_F02,3_pyramidal SS,Female,356
1772067064_F01,3_pyramidal SS,Male,357
1772063063_H02,3_pyramidal SS,Female,358
1772063065_C11,3_pyramidal SS,Male,359
1772063071_G03,3_pyramidal SS,Female,360
1772063068_A01,3_pyramidal SS,Male,361
1772063071_E06,3_pyramidal SS,Female,362
1772071041_A04,3_pyramidal SS,Male,363
1772063068_B01,3_pyramidal SS,Female,364
1772063070_F03,3_pyramidal SS,Male,365
1772063063_G11,3_pyramidal SS,Female,366
1772063062_H11,3_pyramidal SS,Male,367
1772063077_D06,3_pyramidal SS,Female,368
1772071041_H10,3_pyramidal SS,Male,369
1772063064_D02,3_pyramidal SS,Female,370
1772067074_C05,3_pyramidal SS,Male,371
1772067066_B03,3_pyramidal SS,Female,372
1772063068_F11,3_pyramidal SS,Male,373
1772067070_D06,3_pyramidal SS,Female,374
1772067074_B09,3_pyramidal SS,Male,375
1772063077_D12,3_pyramidal SS,Female,376
1772067074_F03,3_pyramidal SS,Male,377
1772071041_C05,3_pyramidal SS,Female,378
1772067070_G12,3_pyramidal SS,Male,379
1772071041_A02,3_pyramidal SS,Female,380
1772067074_B01,3_pyramidal SS,Male,381
1772062115_G01,3_pyramidal SS,Female,382
1772067063_B12,3_pyramidal SS,Male,383
1772067063_H04,3_pyramidal SS,Female,384
1772067073_G09,3_pyramidal SS,Male,385
1772067069_E04,3_pyramidal SS,Female,386
1772067073_C04,3_pyramidal SS,Male,387
1772063071_H01,3_pyramidal SS,Female,388
1772063065_A10,3_pyramidal SS,Male,389
1772063068_D04,3_pyramidal SS,Female,390
1772067069_F05,3_pyramidal SS,Male,391
1772063068_F07,3_pyramidal SS,Female,392
1772063068_A02,3_pyramidal SS,Male,393
1772063063_E04,3_pyramidal SS,Female,394
1772063065_F02,3_pyramidal SS,Male,395
1772067074_F12,3_pyramidal SS,Female,396
1772067064_A01,3_pyramidal SS,Male,397
1772063064_B11,3_pyramidal SS,Female,398
1772062128_E10,3_pyramidal SS,Male,399
1772063065_F03,3_pyramidal SS,Female,400
1772060224_B06,3_pyramidal SS,Male,401
1772071041_H05,3_pyramidal SS,Female,402
1772062109_E06,3_pyramidal SS,Male,403
1772071040_G09,3_pyramidal SS,Female,404
1772071041_E10,3_pyramidal SS,Male,405
1772062128_D07,3_pyramidal SS,Female,406
1772062128_D10,3_pyramidal SS,Male,407
1772063078_B12,3_pyramidal SS,Female,408
1772071041_A06,3_pyramidal SS,Male,409
1772060240_F12,3_pyramidal SS,Female,410
1772063065_D04,3_pyramidal SS,Male,411
1772062116_B11,3_pyramidal SS,Female,412
1772063078_A04,3_pyramidal SS,Male,413
1772063068_D03,3_pyramidal SS,Female,414
1772062128_D12,3_pyramidal SS,Male,415
1772063070_E01,3_pyramidal SS,Female,416
1772062116_G05,3_pyramidal SS,Male,417
1772063068_H12,3_pyramidal SS,Female,418
1772063070_B11,3_pyramidal SS,Male,419
1772071041_A05,3_pyramidal SS,Female,420
1772060240_H05,3_pyramidal SS,Male,421
1772063065_F04,3_pyramidal SS,Female,422
1772063065_G10,3_pyramidal SS,Male,423
1772067074_D10,3_pyramidal SS,Female,424
1772071040_B12,3_pyramidal SS,Male,425
1772063065_D12,3_pyramidal SS,Female,426
1772063065_B02,3_pyramidal SS,Male,427
1772067074_F10,3_pyramidal SS,Female,428
1772060224_H02,3_pyramidal SS,Male,429
1772063068_E06,3_pyramidal SS,Female,430
1772071041_B01,3_pyramidal SS,Male,431
1772060226_F11,3_pyramidal SS,Female,432
1772067069_C08,3_pyramidal SS,Male,433
1772063065_C08,3_pyramidal SS,Female,434
1772062116_A06,3_pyramidal SS,Male,435
1772063061_A05,3_pyramidal SS,Female,436
1772063068_F02,3_pyramidal SS,Male,437
1772060240_D06,3_pyramidal SS,Female,438
1772063063_D11,3_pyramidal SS,Male,439
1772062115_C11,3_pyramidal SS,Female,440
1772071041_C10,3_pyramidal SS,Male,441
1772060225_C12,3_pyramidal SS,Female,442
1772063068_G11,3_pyramidal SS,Male,443
1772067069_C05,3_pyramidal SS,Female,444
1772063065_C09,3_pyramidal SS,Male,445
1772063065_E02,3_pyramidal SS,Female,446
1772063068_G10,3_pyramidal SS,Male,447
1772067073_B04,3_pyramidal SS,Female,448
1772067074_D08,3_pyramidal SS,Male,449
1772071040_H01,3_pyramidal SS,Female,450
1772063062_F07,3_pyramidal SS,Male,451
1772062113_E01,3_pyramidal SS,Female,452
1772063071_E07,3_pyramidal SS,Male,453
1772063065_D02,3_pyramidal SS,Female,454
1772063071_C08,3_pyramidal SS,Male,455
1772063062_F05,3_pyramidal SS,Female,456
1772063068_A06,3_pyramidal SS,Male,457
1772066104_F10,3_pyramidal SS,Female,458
1772058177_G10,3_pyramidal SS,Male,459
1772063068_H01,3_pyramidal SS,Female,460
1772067073_F10,3_pyramidal SS,Male,461
1772063062_C04,3_pyramidal SS,Female,462
1772062109_A11,3_pyramidal SS,Male,463
1772063068_C10,3_pyramidal SS,Female,464
1772063068_G04,3_pyramidal SS,Male,465
1772063065_A03,3_pyramidal SS,Female,466
1772062128_A09,3_pyramidal SS,Male,467
1772063071_F08,3_pyramidal SS,Female,468
1772067058_G11,2_pyramidal_CA1,Male,469
1772071015_D07,3_pyramidal SS,Female,470
1772071015_D08,3_pyramidal SS,Male,471
1772067054_G11,2_pyramidal_CA1,Female,472
1772067064_A12,3_pyramidal SS,Male,473
1772067066_C03,3_pyramidal SS,Female,474
1772066095_D06,2_pyramidal_CA1,Male,475
1772062109_F09,3_pyramidal SS,Female,476
1772067082_D08,2_pyramidal_CA1,Male,477
1772060224_C03,3_pyramidal SS,Female,478
1772071040_H03,3_pyramidal SS,Male,479
1772067059_E04,2_pyramidal_CA1,Female,480
1772067058_C12,2_pyramidal_CA1,Male,481
1772066073_C01,2_pyramidal_CA1,Female,482
1772067076_A05,2_pyramidal_CA1,Male,483
1772067059_A05,2_pyramidal_CA1,Female,484
1772067082_B12,2_pyramidal_CA1,Male,485
1772066100_D12,2_pyramidal_CA1,Female,486
1772067076_C01,2_pyramidal_CA1,Male,487
1772067082_F05,2_pyramidal_CA1,Female,488
1772067082_C10,2_pyramidal_CA1,Male,489
1772067082_G07,2_pyramidal_CA1,Female,490
1772066098_B05,2_pyramidal_CA1,Male,491
1772066097_H07,2_pyramidal_CA1,Female,492
1772066102_F02,2_pyramidal_CA1,Male,493
1772063062_D03,3_pyramidal SS,Female,494
1772067064_A11,3_pyramidal SS,Male,495
1772067073_E06,3_pyramidal SS,Female,496
1772071040_F10,3_pyramidal SS,Male,497
1772071040_D11,3_pyramidal SS,Female,498
1772062116_B02,3_pyramidal SS,Male,499
1772071041_D08,3_pyramidal SS,Female,500
1772067064_G12,3_pyramidal SS,Male,501
1772062109_E09,3_pyramidal SS,Female,502
1772067074_A02,3_pyramidal SS,Male,503
1772067074_C04,3_pyramidal SS,Female,504
1772071040_F06,3_pyramidal SS,Male,505
1772067074_G06,3_pyramidal SS,Female,506
1772067063_B09,3_pyramidal SS,Male,507
1772071041_F02,3_pyramidal SS,Female,508
1772067073_B06,3_pyramidal SS,Male,509
1772067073_G04,3_pyramidal SS,Female,510
1772067070_B11,3_pyramidal SS,Male,511
1772062111_H10,3_pyramidal SS,Female,512
1772067063_A01,3_pyramidal SS,Male,513
1772071040_A11,3_pyramidal SS,Female,514
1772071041_E04,3_pyramidal SS,Male,515
1772062118_B11,3_pyramidal SS,Female,516
1772067070_G04,3_pyramidal SS,Male,517
1772071040_E02,3_pyramidal SS,Female,518
1772071041_D11,3_pyramidal SS,Male,519
1772071040_B06,3_pyramidal SS,Female,520
1772067070_H11,3_pyramidal SS,Male,521
1772063071_C01,3_pyramidal SS,Female,522
1772062111_B01,3_pyramidal SS,Male,523
1772063068_C01,3_pyramidal SS,Female,524
1772060240_B10,3_pyramidal SS,Male,525
1772060240_B01,3_pyramidal SS,Female,526
1772066096_B04,2_pyramidal_CA1,Male,527
1772060225_E01,3_pyramidal SS,Female,528
1772063077_C12,3_pyramidal SS,Male,529
1772063065_F01,3_pyramidal SS,Female,530
1772062115_D01,3_pyramidal SS,Male,531
1772062118_A01,3_pyramidal SS,Female,532
1772063065_A01,3_pyramidal SS,Male,533
1772067070_D10,3_pyramidal SS,Female,534
1772071040_A01,3_pyramidal SS,Male,535
1772063068_B10,3_pyramidal SS,Female,536
1772067066_G02,3_pyramidal SS,Male,537
1772063077_G04,3_pyramidal SS,Female,538
1772063071_E01,3_pyramidal SS,Male,539
1772067070_D05,3_pyramidal SS,Female,540
1772062111_H11,3_pyramidal SS,Male,541
1772071041_B12,3_pyramidal SS,Female,542
1772063077_E05,3_pyramidal SS,Male,543
1772067073_F02,3_pyramidal SS,Female,544
1772062111_A09,3_pyramidal SS,Male,545
1772063061_A10,3_pyramidal SS,Female,546
1772062128_C12,3_pyramidal SS,Male,547
1772063061_A03,3_pyramidal SS,Female,548
1772063074_E06,3_pyramidal SS,Male,549
1772063064_H01,3_pyramidal SS,Female,550
1772071014_C08,3_pyramidal SS,Male,551
1772067064_H05,3_pyramidal SS,Female,552
1772063068_A12,3_pyramidal SS,Male,553
1772062109_H06,3_pyramidal SS,Female,554
1772062109_D03,3_pyramidal SS,Male,555
1772067065_G07,3_pyramidal SS,Female,556
1772062128_D01,3_pyramidal SS,Male,557
1772071014_H02,3_pyramidal SS,Female,558
1772063061_H04,3_pyramidal SS,Male,559
1772062115_C09,3_pyramidal SS,Female,560
1772063078_E02,3_pyramidal SS,Male,561
1772063061_H12,3_pyramidal SS,Female,562
1772063061_E05,3_pyramidal SS,Male,563
1772058177_G03,3_pyramidal SS,Female,564
1772063068_E07,3_pyramidal SS,Male,565
1772063061_C11,3_pyramidal SS,Female,566
1772063061_D11,3_pyramidal SS,Male,567
1772063061_E06,3_pyramidal SS,Female,568
1772063071_A03,3_pyramidal SS,Male,569
1772058171_C07,3_pyramidal SS,Female,570
1772063061_G12,3_pyramidal SS,Male,571
1772062128_H06,3_pyramidal SS,Female,572
1772062115_C08,3_pyramidal SS,Male,573
1772063061_C02,3_pyramidal SS,Female,574
1772063061_C06,3_pyramidal SS,Male,575
1772063061_H01,3_pyramidal SS,Female,576
1772063061_B06,3_pyramidal SS,Male,577
1772063071_E12,3_pyramidal SS,Female,578
1772058177_C10,3_pyramidal SS,Male,579
1772058177_H05,3_pyramidal SS,Female,580
1772063061_F06,3_pyramidal SS,Male,581
1772058177_H07,3_pyramidal SS,Female,582
1772058171_E01,3_pyramidal SS,Male,583
1772063061_A02,3_pyramidal SS,Female,584
1772063061_B01,3_pyramidal SS,Male,585
1772063068_F09,3_pyramidal SS,Female,586
1772063064_C02,3_pyramidal SS,Male,587
1772063061_G01,3_pyramidal SS,Female,588
1772063068_B04,3_pyramidal SS,Male,589
1772063077_C06,3_pyramidal SS,Female,590
1772063061_H08,3_pyramidal SS,Male,591
1772062128_E06,3_pyramidal SS,Female,592
1772063063_E11,3_pyramidal SS,Male,593
1772063070_F01,3_pyramidal SS,Female,594
1772063078_F03,3_pyramidal SS,Male,595
1772062115_D06,3_pyramidal SS,Female,596
1772063062_D12,3_pyramidal SS,Male,597
1772062113_D06,3_pyramidal SS,Female,598
1772063062_D06,3_pyramidal SS,Male,599
1772062114_F10,3_pyramidal SS,Female,600
1772063078_C04,3_pyramidal SS,Male,601
1772063068_C12,3_pyramidal SS,Female,602
1772062109_G11,3_pyramidal SS,Male,603
1772062115_E09,3_pyramidal SS,Female,604
1772063062_A03,3_pyramidal SS,Male,605
1772062114_G07,3_pyramidal SS,Female,606
1772062113_G03,3_pyramidal SS,Male,607
1772067063_H06,3_pyramidal SS,Female,608
1772062114_A02,3_pyramidal SS,Male,609
1772062109_D07,3_pyramidal SS,Female,610
1772062113_E03,3_pyramidal SS,Male,611
1772067073_H12,3_pyramidal SS,Female,612
1772062111_H03,3_pyramidal SS,Male,613
1772067073_D11,3_pyramidal SS,Female,614
1772063071_D09,3_pyramidal SS,Male,615
1772063071_E09,3_pyramidal SS,Female,616
1772062113_D03,3_pyramidal SS,Male,617
1772063070_D11,3_pyramidal SS,Female,618
1772067074_D06,3_pyramidal SS,Male,619
1772063063_A07,3_pyramidal SS,Female,620
1772062111_C10,3_pyramidal SS,Male,621
1772071041_E08,3_pyramidal SS,Female,622
1772063065_D09,3_pyramidal SS,Male,623
1772062111_E07,3_pyramidal SS,Female,624
1772067070_F11,3_pyramidal SS,Male,625
1772063063_H04,3_pyramidal SS,Female,626
1772067073_D12,3_pyramidal SS,Male,627
1772071040_G12,3_pyramidal SS,Female,628
1772062115_E10,3_pyramidal SS,Male,629
1772063068_E12,3_pyramidal SS,Female,630
1772060225_E04,3_pyramidal SS,Male,631
1772063068_G01,3_pyramidal SS,Female,632
1772063065_B10,3_pyramidal SS,Male,633
1772063065_H05,3_pyramidal SS,Female,634
1772060224_F11,3_pyramidal SS,Male,635
1772062113_A04,3_pyramidal SS,Female,636
1772071040_H08,3_pyramidal SS,Male,637
1772063074_C06,3_pyramidal SS,Female,638
1772063065_A08,3_pyramidal SS,Male,639
1772063071_B03,3_pyramidal SS,Female,640
1772067058_A05,2_pyramidal_CA1,Male,641
1772063071_E05,3_pyramidal SS,Female,642
1772062113_B05,3_pyramidal SS,Male,643
